id,tweet,subtask_a
86426,ask native americans,OFF
90194,home drunk oncomingfist oncomingfist,OFF
16820,amazon investigate chinese employee sell internal datum party seller look edge competitive marketplace,NOT
62688,piece shit volcano facewithtearsofjoy,OFF
43605,obama want liberal amp illegal red state,NOT
97670,liberal kookoo,OFF
77444,oh tough shit,OFF
52415,literally talk lol mass shooting like set propaganda use divide major issue like gun control terrorism,OFF
45157,buy icecream,NOT
13384,canada need cuck great country,OFF
82776,fault support gun control,NOT
42992,difference man admit grope year old girl year ago scj,NOT
28414,lie corrupt traitor want hear anymore lie,OFF
54920,scare american play hockey warped puck,NOT
56392,I like soda like I like boarder lot ice,NOT
86735,king taste,NOT
95686,musicalnote sing like listen heartsuit love like hurt checkmark vote gop watch hearnoevilmonkey listen liberal dirt,NOT
71446,time right house respond concern canadian canadian support strong gun control good reason,NOT
23958,jax mom maybe ope hand favorite like good person facewithtearsofjoy,NOT
28195,gun control kid ask,OFF
56117,lol throw bullshit flag nonsense,OFF
67757,correct,NOT
12681,kind like conservative wanna associate left communist antifa member,OFF
82904,da fuck people man room woman room pick stick w thinkingface,OFF
63236,willie fan bear love hold rally beto exactly fan furious specific,NOT
77665,tbh day I like people general I connect people day annoyance,OFF
83484,south korean official leader discuss specific denuke measure pyongyang,NOT
74932,tell hooper,NOT
91252,I feel like chase title,NOT
25440,refer hillary know tiresome bernie supporter bash hillary clinton actual democrat raise money democratic party bash positive message divide left,OFF
81613,glad friend support metis right support zionist,NOT
82333,yes I ask movie personshrugge malesign eye,NOT
12609,thing democrats lie stall stop trump lately,OFF
13017,wonder apologetic social day,NOT
18129,update end blatant amp prove,NOT
70380,know happen I lay bed cry I listen kelly clarkson thank free speech antifa,NOT
12108,smart think gen flynn sentencing reschedule,OFF
14726,expect placate violent leftist terrorist,OFF
74358,blow hard,NOT
82599,mean max lvl twitter user maybe try new game,NOT
40212,explain control opposition mean bernier escaping split rest conservative racist exclusionary want,NOT
78367,socialists politic stand downtrodden conflate criticism israel anti semitism problem,NOT
66596,nina reason I read book long I worried character I trust nina goddamn goddess I die thousand time big bold lovely perfect arc perfect,NOT
70999,vote kavanaugh fit scotus allegation woman shady financial disqualify matter,NOT
36026,ppl I racist racist racist repeat I,NOT
29439,kathy patriot statueofliberty love great president trump spine steel change trade amp americans amp amp grinningface statueofliberty statueofliberty statueofliberty grinningface,NOT
74477,wow liberal sense humor facewithrollingeye,NOT
49845,I fucking ready,NOT
32305,holy moly catholic people awaken,NOT
77243,lol yeah dina everyday claudia horse vet care donation example limp etc,NOT
73205,surprise antifa blm soros america bad enemy history believe way usa withe s right gunna happen,NOT
47311,I wedding good pretty,NOT
48553,conflict look involve violent left agenda antifa,NOT
75689,announcement come fruition basically steal labour idea vote,NOT
84102,british people basically racist voter vote conservative coincidence,OFF
10607,advocate stop fall assure electorate love horrific,NOT
43913,hi love huge fan camila mende alright use tweet promotional material,NOT
98992,fuck,OFF
92056,certainly weird view margaret sanger geonicidal philosophy abort minority I like know black population suffer share opinion,NOT
33853,prison system fuck away potentially murder intent prisoner die hurricane louisiana like inmate miss,OFF
75215,useless attempt right thing follow,OFF
96218,liberal party poison,NOT
57013,grateful trump dog white house cruel man,OFF
20883,lie stick fact pay,NOT
74831,trump kicks dem butt fun,OFF
53264,dumb dumber president,OFF
28204,minister attempt expense charity donation,NOT
42024,ur straight forword man okhand I u dance dewwane ur talk free ky ap kitnay porrany ho industry mein I like ur quality u gather ur senior greenheart artist love cowboyhatface thumbsup,NOT
84664,clown prison,OFF
54842,twitter silence alex jones retaliation ask twitter jack question,NOT
48995,s old man,OFF
47153,obstructionist anti american pharisees ask run maga,OFF
76826,represent alinskyite orwellian leftist view thing like similar psst use word fascist fascism ahead amp read book big right u know squat,NOT
27645,I remember centrist antifa hater bring condemn thing,NOT
64429,I mean work gun control right,OFF
20943,I think thing wh trump mind april ryan need stop flatter important think,NOT
78064,principle conservative,NOT
14122,forget amp democrat,NOT
